Facility,Test_group,Test_number,Description,Result,Execution_time,Information,Output
Patio,424,275,Dog,8,104,Brown,
Room,452,276,Horse,8,763,Red,
Kitchen,790,277,Pig,0,109,Maroon,
Kitchen,743,278,Pig,0,168,Brown,
Patio,72,279,Dog,8,774,Purple,
Den,608,280,Mule,0,843,Purple,
Shower,413,281,Cat,0,337,Blue,
Shower,250,282,Dog,0,596,Purple,
Patio,155,283,Cat,0,109,Red,
Shower,713,284,Pig,8,910,Brown,
Den,127,285,Horse,8,368,Purple,
Shower,827,286,Pig,8,604,Blue,
Room,185,287,Mule,8,448,Purple,
Shower,32,288,Pig,8,429,Purple,
Room,421,289,Dog,8,196,Red,
Room,896,290,Cat,0,153,Maroon,
Room,240,291,Mule,0,24,Brown,
Shower,167,292,Cat,8,68,Blue,
Kitchen,791,293,Pig,8,648,Maroon,
Kitchen,681,294,Horse,8,309,Red,
Patio,157,295,Dog,0,673,Blue,
Den,230,296,Pig,8,691,Brown,
Kitchen,723,297,Dog,8,313,Red,
Patio,326,298,Pig,0,930,Brown,
Room,876,299,Dog,0,494,Brown,
