Facility,Test_group,Test_number,Description,Result,Execution_time,Information,Output
Shower,582,62,Mule,0,969,Maroon,
Den,298,63,Dog,0,118,Brown,
Room,668,64,Horse,8,714,Blue,
Shower,531,65,Dog,8,862,Purple,
Shower,536,66,Horse,8,720,Red,
Den,26,67,Pig,8,141,Purple,
Room,212,68,Cat,8,910,Purple,
Shower,754,69,Pig,8,759,Brown,
Room,686,70,Dog,8,939,Blue,
Patio,592,71,Horse,0,641,Purple,
Room,256,72,Pig,0,88,Purple,
Den,761,73,Horse,8,580,Blue,
Den,85,74,Horse,0,566,Blue,
Den,395,75,Cat,8,366,Red,
Room,529,76,Dog,8,934,Maroon,
Shower,740,77,Horse,8,577,Red,
Kitchen,60,78,Mule,8,455,Brown,
Room,471,79,Cat,8,102,Blue,
Kitchen,450,80,Horse,0,116,Maroon,
Den,780,81,Cat,0,629,Brown,
Den,14,82,Cat,8,413,Blue,
Patio,74,83,Dog,8,512,Purple,
Room,111,84,Dog,0,557,Red,
Kitchen,466,85,Dog,0,553,Maroon,
Patio,915,86,Mule,0,623,Blue,
Shower,118,87,Pig,0,963,Maroon,
Kitchen,325,88,Mule,8,895,Brown,
Shower,581,89,Dog,0,662,Brown,
Patio,672,90,Dog,0,488,Maroon,
Room,494,91,Pig,8,880,Purple,
Shower,186,92,Pig,8,118,Brown,
Room,835,93,Pig,0,237,Blue,
Kitchen,555,94,Dog,0,338,Red,
Kitchen,865,95,Cat,8,532,Maroon,
Room,955,96,Cat,8,787,Red,
Den,214,97,Dog,0,134,Purple,
Kitchen,287,98,Cat,8,115,Blue,
Room,849,99,Horse,0,114,Red,
Den,37,100,Pig,0,634,Blue,
Patio,413,101,Horse,0,100,Maroon,
Shower,720,102,Mule,8,360,Blue,
Den,872,103,Pig,0,773,Red,
Room,803,104,Horse,8,613,Brown,
Den,826,105,Horse,8,90,Red,
Den,231,106,Mule,8,772,Maroon,
Patio,550,107,Horse,0,370,Maroon,
Room,127,108,Dog,0,414,Purple,
Kitchen,677,109,Horse,8,626,Maroon,
Shower,352,110,Pig,8,405,Maroon,
Kitchen,667,111,Horse,8,404,Red,
Shower,351,112,Cat,8,12,Purple,
Patio,821,113,Cat,8,707,Maroon,
Shower,254,114,Cat,8,131,Maroon,
Patio,965,115,Pig,8,653,Red,
Kitchen,169,116,Dog,0,816,Purple,
Room,790,117,Pig,0,712,Brown,
Patio,673,118,Pig,0,298,Maroon,
Patio,448,119,Pig,0,855,Maroon,
Kitchen,189,120,Cat,8,725,Brown,
Shower,538,121,Mule,8,794,Maroon,
Den,987,122,Pig,8,876,Blue,
Patio,427,123,Mule,8,231,Maroon,
Den,974,124,Horse,0,859,Brown,
Shower,124,125,Pig,0,969,Purple,
Room,306,126,Mule,0,606,Purple,
Room,795,127,Dog,8,166,Purple,
Kitchen,706,128,Mule,0,596,Brown,
Den,363,129,Dog,8,701,Brown,
Room,659,130,Horse,0,381,Red,
Shower,169,131,Cat,0,21,Red,
Shower,378,132,Horse,0,114,Brown,
Room,27,133,Horse,0,154,Brown,
Kitchen,174,134,Cat,0,677,Blue,
Shower,487,135,Dog,0,545,Purple,
Shower,416,136,Pig,8,838,Maroon,
Room,193,137,Mule,8,803,Purple,
Shower,665,138,Pig,0,906,Brown,
Den,559,139,Horse,0,199,Blue,
Den,506,140,Horse,0,695,Blue,
Shower,652,141,Dog,8,844,Red,
Shower,27,142,Dog,8,720,Red,
Kitchen,322,143,Mule,8,588,Maroon,
Shower,696,144,Pig,0,509,Maroon,
Room,152,145,Horse,8,214,Maroon,
Room,324,146,Pig,0,639,Brown,
Den,936,147,Dog,8,748,Purple,
Patio,403,148,Horse,8,282,Red,
Shower,944,149,Horse,0,645,Red,
Room,507,150,Pig,8,88,Blue,
Room,433,151,Mule,8,214,Blue,
Shower,863,152,Dog,0,701,Red,
Kitchen,668,153,Dog,8,658,Brown,
Room,975,154,Dog,0,467,Red,
Shower,619,155,Mule,0,332,Purple,
Patio,782,156,Horse,8,240,Brown,
Shower,609,157,Mule,0,201,Blue,
Den,351,158,Horse,8,417,Blue,
Den,682,159,Horse,8,349,Brown,
Den,515,160,Horse,0,498,Purple,
Den,415,161,Cat,8,286,Blue,
Kitchen,175,162,Dog,8,251,Maroon,
Shower,986,163,Pig,8,103,Brown,
Patio,489,164,Cat,8,902,Purple,
Shower,540,165,Horse,8,75,Purple,
Patio,629,166,Horse,8,871,Red,
Den,225,167,Dog,0,286,Red,
Patio,536,168,Cat,0,350,Maroon,
Kitchen,12,169,Cat,0,778,Brown,
Patio,806,170,Pig,8,307,Red,
Den,474,171,Pig,8,672,Brown,
Shower,34,172,Dog,0,610,Purple,
Patio,679,173,Dog,8,696,Red,
Den,121,174,Mule,8,89,Purple,
Den,857,175,Pig,0,376,Brown,
Kitchen,477,176,Cat,8,328,Blue,
Patio,268,177,Pig,8,640,Red,
Patio,939,178,Pig,8,444,Brown,
Shower,940,179,Horse,8,901,Brown,
Room,309,180,Mule,0,910,Blue,
Patio,245,181,Pig,8,395,Purple,
Patio,954,182,Pig,0,44,Purple,
Den,508,183,Mule,8,878,Maroon,
Patio,263,184,Horse,8,130,Blue,
Room,482,185,Dog,0,899,Blue,
Shower,553,186,Dog,0,457,Maroon,
Shower,269,187,Horse,8,51,Blue,
Patio,456,188,Pig,8,101,Maroon,
Shower,736,189,Dog,0,287,Maroon,
Patio,903,190,Dog,0,389,Maroon,
Room,693,191,Mule,0,861,Blue,
Den,62,192,Dog,8,145,Brown,
Shower,503,193,Pig,0,419,Purple,
Patio,357,194,Horse,0,448,Purple,
Den,842,195,Mule,0,315,Brown,
Kitchen,484,196,Pig,0,841,Brown,
Patio,280,197,Horse,0,94,Purple,
Room,27,198,Mule,8,115,Purple,
Shower,648,199,Cat,0,995,Brown,
Room,656,200,Mule,8,195,Brown,
Kitchen,831,201,Cat,0,801,Brown,
Shower,949,202,Cat,0,863,Purple,
Room,687,203,Mule,8,76,Red,
Room,780,204,Mule,8,162,Brown,
Shower,765,205,Dog,0,643,Purple,
Kitchen,770,206,Cat,8,62,Maroon,
Room,947,207,Dog,8,44,Red,
Kitchen,148,208,Mule,8,791,Blue,
Room,854,209,Pig,0,694,Blue,
Kitchen,715,210,Pig,0,333,Brown,
Kitchen,92,211,Mule,0,532,Purple,
Patio,180,212,Cat,0,283,Purple,
Den,825,213,Dog,0,778,Blue,
Patio,534,214,Cat,8,312,Red,
Room,441,215,Horse,0,492,Maroon,
Den,164,216,Mule,8,36,Purple,
Den,684,217,Cat,8,320,Red,
Kitchen,275,218,Pig,8,988,Brown,
Room,711,219,Horse,8,326,Purple,
Den,370,220,Pig,8,745,Brown,
Patio,298,221,Dog,0,669,Brown,
Kitchen,652,222,Mule,0,883,Brown,
Den,154,223,Pig,0,221,Brown,
Den,79,224,Dog,8,355,Blue,
Den,177,225,Dog,0,581,Purple,
Room,580,226,Dog,0,897,Brown,
Kitchen,277,227,Dog,0,60,Purple,
Room,510,228,Mule,8,497,Blue,
Room,658,229,Mule,0,387,Maroon,
Patio,739,230,Horse,8,210,Purple,
Patio,266,231,Cat,0,88,Maroon,
Patio,33,232,Horse,0,474,Red,
Kitchen,820,233,Pig,0,389,Brown,
Kitchen,207,234,Pig,0,797,Red,
Patio,209,235,Dog,8,165,Red,
Kitchen,328,236,Dog,8,344,Red,
Den,9,237,Pig,8,285,Red,
Patio,82,238,Mule,0,112,Red,
Den,72,239,Dog,8,701,Maroon,
Patio,296,240,Cat,8,574,Maroon,
Patio,338,241,Cat,0,565,Purple,
Den,156,242,Dog,0,614,Red,
Kitchen,314,243,Mule,0,484,Purple,
Kitchen,999,244,Pig,8,902,Blue,
Shower,266,245,Pig,0,92,Blue,
Patio,435,246,Mule,0,621,Brown,
Room,578,247,Cat,0,618,Red,
Room,939,248,Cat,8,159,Maroon,
Kitchen,566,249,Pig,8,762,Blue,
Patio,229,250,Dog,8,832,Red,
Kitchen,154,251,Dog,8,503,Blue,
Kitchen,663,252,Dog,0,360,Purple,
Den,177,253,Dog,8,521,Brown,
Shower,42,254,Dog,0,866,Blue,
Room,409,255,Cat,8,469,Blue,
Shower,359,256,Horse,8,23,Red,
Shower,896,257,Cat,0,246,Maroon,
Room,633,258,Mule,8,393,Purple,
Den,157,259,Cat,0,718,Purple,
Room,808,260,Cat,8,755,Maroon,
Patio,101,261,Dog,8,786,Blue,
Patio,462,262,Pig,8,275,Blue,
Shower,653,263,Pig,8,946,Blue,
Kitchen,607,264,Pig,0,90,Red,
Shower,721,265,Mule,8,295,Maroon,
Den,460,266,Cat,0,267,Purple,
Patio,317,267,Pig,8,153,Brown,
Shower,743,268,Mule,0,914,Maroon,
Room,238,269,Cat,8,673,Brown,
Den,36,270,Pig,0,208,Maroon,
Patio,753,271,Horse,0,257,Purple,
Shower,596,272,Dog,0,731,Red,
Kitchen,669,273,Pig,8,571,Red,
Den,697,274,Mule,8,734,Brown,
Den,230,275,Cat,8,758,Brown,
Shower,103,276,Dog,8,776,Brown,
Room,683,277,Dog,0,827,Blue,
Kitchen,479,278,Dog,8,994,Maroon,
Kitchen,100,279,Dog,8,64,Red,
Den,755,280,Dog,8,972,Red,
Room,383,281,Pig,0,709,Brown,
Shower,767,282,Dog,0,896,Maroon,
Room,917,283,Horse,8,328,Purple,
Kitchen,655,284,Mule,0,233,Purple,
Patio,902,285,Cat,8,418,Red,
Den,534,286,Cat,8,216,Brown,
Shower,552,287,Mule,8,512,Purple,
Kitchen,959,288,Cat,8,836,Maroon,
Kitchen,53,289,Pig,8,725,Red,
Room,716,290,Dog,0,185,Blue,
Patio,796,291,Horse,8,652,Blue,
Shower,677,292,Pig,0,267,Blue,
Den,767,293,Horse,8,101,Maroon,
Patio,109,294,Cat,0,156,Maroon,
Patio,732,295,Cat,0,146,Red,
Den,184,296,Cat,8,156,Red,
Patio,733,297,Pig,8,130,Brown,
Patio,436,298,Horse,8,289,Brown,
Kitchen,387,299,Mule,8,879,Maroon,
